Month,ICMS
2002-01,882674898.00
2002-02,787661479.00
2002-03,756530426.00
2002-04,789152659.00
2002-05,942411420.00
2002-06,827098899.00
2002-07,868198488.00
2002-08,997576138.00
2002-09,857241251.00
2002-10,804532982.00
2002-11,916076927.00
2002-12,844306764.00
2003-01,989794260.00
2003-02,943775812.00
2003-03,986852519.00
2003-04,929796622.00
2003-05,997914327.00
2003-06,831388499.00
2003-07,915427388.00
2003-08,900802051.00
2003-09,884692247.00
2003-10,883124300.00
2003-11,919405083.00
2003-12,922416947.00
2004-01,1630875932.00
2004-02,951249524.00
2004-03,884559644.00
2004-04,953220519.00
2004-05,947738916.00
2004-06,1045581408.00
2004-07,1082571493.00
2004-08,1101102072.00
2004-09,1035182610.00
2004-10,1009311747.00
2004-11,1075348028.00
2004-12,1151157147.00
2005-01,1275638877.00
2005-02,1068818429.00
2005-03,1048849885.00
2005-04,1120004255.00
2005-05,1069919525.00
2005-06,959937724.00
2005-07,1033321336.00
2005-08,1033908256.00
2005-09,1107308462.00
2005-10,1082596629.00
2005-11,1152937002.00
2005-12,1292119245.00
2006-01,1303231966.00
2006-02,1069327737.00
2006-03,1095247641.00
2006-04,1037632611.00
2006-05,1152482120.00
2006-06,1178127557.00
2006-07,1210334899.00
2006-08,1212992705.00
2006-09,1275406457.00
2006-10,1297104914.00
2006-11,1276852020.00
2006-12,1395561711.00
2007-01,1404382639.00
2007-02,1220909159.00
2007-03,1183621467.00
2007-04,1242166847.00
2007-05,1232767173.00
2007-06,1178953849.00
2007-07,1212345158.00
2007-08,1209674725.00
2007-09,1364602499.00
2007-10,1434932087.00
2007-11,1488441539.00
2007-12,1312813505.00
2008-01,1515583256.00
2008-02,1454429229.00
2008-03,1233473025.00
2008-04,1378845256.00
2008-05,1362224150.00
2008-06,1453234628.00
2008-07,1428638682.00
2008-08,1461956076.00
2008-09,1662602744.00
2008-10,1569215611.00
2008-11,1670525850.00
2008-12,1501677422.00
2009-01,1652716436.00
2009-02,1483744273.00
2009-03,1500256856.00
2009-04,1524344118.00
2009-05,1366225651.00
2009-06,1455091297.00
2009-07,1423967615.00
2009-08,1427346189.00
2009-09,1564572128.00
2009-10,1616574374.00
2009-11,1812231662.00
2009-12,1792381604.00
2010-01,1964384447.00
2010-02,1697593368.00
2010-03,1756526031.00
2010-04,1768490297.00
2010-05,1755327394.00
2010-06,1762805222.00
2010-07,1740193252.00
2010-08,1783497697.00
2010-09,1912231274.00
2010-10,1882729447.00
2010-11,2009381379.00
2010-12,2067469807.00
2011-01,2191298881.00
2011-02,1876237079.00
2011-03,1987176227.00
2011-04,1978603276.00
2011-05,2132716390.00
2011-06,2116991965.00
2011-07,1905739888.00
2011-08,2068708346.00
2011-09,2107668547.00
2011-10,2074003194.00
2011-11,2145455221.00
2011-12,2223561091.00
2012-01,2407687919.00
2012-02,2000793695.00
2012-03,2127666818.00
2012-04,2344078744.00
2012-05,2029227255.00
2012-06,2197543407.00
2012-07,2232962546.00
2012-08,2243381768.00
2012-09,2308958356.00
2012-10,2239573047.00
2012-11,2393804343.00
2012-12,2392351653.00
2013-01,2656498352.00
2013-02,2396135866.00
2013-03,2340818706.00
2013-04,2492090939.00
2013-05,2380858674.00
2013-06,2666481928.00
2013-07,2290841483.00
2013-08,2311794747.00
2013-09,2777800827.00
2013-10,2782634820.00
2013-11,2797801061.00
2013-12,2854502340.00
2014-01,2831634660.00
2014-02,2817837509.00
2014-03,2591119457.00
2014-04,2654155261.00
2014-05,2490888963.00
2014-06,2408541310.00
2014-07,2524237424.00
2014-08,2568333862.00
2014-09,2436185673.00
2014-10,2836211541.00
2014-11,2594032067.00
2014-12,2571800287.00
2015-01,2933106375.00
2015-02,2496844539.00
2015-03,2403029276.00
2015-04,2707812792.00
2015-05,2597913773.00
2015-06,2712150932.00
2015-07,2893842302.00
2015-08,2468682882.00
2015-09,2628893389.00
2015-10,2827878801.00
2015-11,2571795519.00
2015-12,2854060610.00
2016-01,3101183120.00
2016-02,2665653482.00
2016-03,2430030380.00
2016-04,2809989334.00
2016-05,2587267993.00
2016-06,2385172475.00
2016-07,2494336157.00
2016-08,2442348534.00
2016-09,2315229139.00
2016-10,2618107686.00
2016-11,2463636043.00
2016-12,2835504972.00
2017-01,2839055842.30
2017-02,2704168560.99
2017-03,2411548064.77
2017-04,2870511477.13
2017-05,2543468273.83
2017-06,2561651157.33
2017-07,2530309198.16
2017-08,2568499082.82
2017-09,2713533733.97
2017-10,2655994566.60
2017-11,2828849231.63
2017-12,3134906709.25
2018-01,3054647241.15
2018-02,2899400405.96
2018-03,2718750710.19
2018-04,2784291530.04
2018-05,2988242758.39
2018-06,2728014302.80
2018-07,3400196101.88
2018-08,3232776374.89
2018-09,2873691468.88
2018-10,2694165362.51
2018-11,3647787708.38
2018-12,2814094126.25
2019-01,3534884547.15
2019-02,3143835402.09
2019-03,2718260370.89
2019-04,3143630312.47
2019-05,2938160845.64
2019-06,2666573569.01
2019-07,2703051447.20
2019-08,2879302672.07
2019-09,3063194390.68
2019-10,3070525826.19
2019-11,3066477000.87
2019-12,3434110565.14
2020-01,3638325483.78
2020-02,3085040043.24
2020-03,3030141928.53
2020-04,2689716773.65
2020-05,2168760603.34
2020-06,2418098809.44
2020-07,2706463691.53
2020-08,3076402081.64
